alpha,mach,fda,Cl,Cd,Cm
-15,4,-40,-0.10764245,0.039577133,0.00512543
-5,4,-40,-0.010875963,0.026687092,-0.0134623
0,4,-40,0.041980099,0.039101139,-0.0263067
5,4,-40,0.091856206,0.058695421,-0.0380976
15,4,-40,0.19775911,0.13632735,-0.0696398
-15,6,-40,-0.087725774,0.032438186,0.00355594
-5,6,-40,-0.0089705044,0.019303956,-0.00979948
0,6,-40,0.036200469,0.033260833,-0.0226314
5,6,-40,0.084300299,0.059391395,-0.0385278
15,6,-40,0.20536663,0.16595558,-0.0898925
-15,8,-40,-0.079101856,0.029717777,0.00251173
-5,8,-40,-0.0051990855,0.017443211,-0.00965678
0,8,-40,0.036658956,0.032915868,-0.0228172
5,8,-40,0.086090499,0.06460202,-0.0420306
15,8,-40,0.20907928,0.17363141,-0.0965949
-30,4,-40,-0.24895315,0.15806092,0.0225561
30,4,-40,0.38075851,0.35464853,-0.136008
-30,6,-40,-0.22833805,0.14453881,0.0201039
30,6,-40,0.37712883,0.36845123,-0.149361
-30,8,-40,-0.22006746,0.13904658,0.0187708
30,8,-40,0.37721171,0.37468707,-0.154545
-15,4,-30,-0.10995584,0.038535989,0.00629093
-5,4,-30,-0.020574027,0.017105426,-0.0081434
0,4,-30,0.028311848,0.021990336,-0.0181008
5,4,-30,0.075851231,0.034416204,-0.0273199
15,4,-30,0.17813547,0.092904898,-0.0518807
-15,6,-30,-0.089873771,0.031464751,0.00466554
-5,6,-30,-0.01640938,0.012124494,-0.00568597
0,6,-30,0.023542844,0.017670629,-0.0150599
5,6,-30,0.06636212,0.032191204,-0.0263974
15,6,-30,0.17034251,0.098270375,-0.0588331
-15,8,-30,-0.081368057,0.028641799,0.00364919
-5,8,-30,-0.012640039,0.010458613,-0.00554574
0,8,-30,0.023166265,0.016686576,-0.014748
5,8,-30,0.066016281,0.03430407,-0.0285655
15,8,-30,0.17332158,0.10608492,-0.0657769
-30,4,-30,-0.25150959,0.15834009,0.0238145
30,4,-30,0.35339672,0.28948548,-0.10568
-30,6,-30,-0.23006972,0.14482013,0.0209659
30,6,-30,0.35413477,0.30584738,-0.124136
-30,8,-30,-0.22144298,0.13927656,0.019433
30,8,-30,0.36305815,0.32068602,-0.13792
-15,4,-15,-0.11385018,0.03823765,0.00833609
-5,4,-15,-0.032428366,0.010695614,-0.00170934
0,4,-15,0.009759575,0.0089562934,-0.00752144
5,4,-15,0.053192975,0.014573488,-0.0134389
15,4,-15,0.14837895,0.053891597,-0.0295651
-15,6,-15,-0.092403597,0.031250534,0.00599703
-5,6,-15,-0.025151637,0.0076585669,-0.000913396
0,6,-15,0.0062515409,0.0061509739,-0.00520117
5,6,-15,0.040344521,0.011182929,-0.0106603
15,6,-15,0.12905274,0.047900356,-0.0285927
-15,8,-15,-0.083602343,0.028418392,0.00479639
-5,8,-15,-0.020792538,0.00635799,-0.00109678
0,8,-15,0.0051912374,0.0051178963,-0.00451149
5,8,-15,0.035150118,0.009966713,-0.00993662
15,8,-15,0.12280855,0.04622701,-0.0292099
-30,4,-15,-0.25953673,0.16098912,0.0282082
30,4,-15,0.32012112,0.21147478,-0.066191
-30,6,-15,-0.23620059,0.14679397,0.0243002
30,6,-15,0.29936498,0.19912765,-0.0639795
-30,8,-15,-0.22705028,0.14105968,0.022388
30,8,-15,0.29277238,0.19509381,-0.0639518
-15,4,-5,-0.11873124,0.03922271,0.011018
-5,4,-5,-0.038355962,0.0098043896,0.00148838
0,4,-5,0.0011962431,0.0062413245,-0.00280718
5,4,-5,0.042614479,0.0097376732,-0.00735569
15,4,-5,0.1329029,0.042355101,-0.0195733
-15,6,-5,-0.095862358,0.031920168,0.00789592
-5,6,-5,-0.028835254,0.0071334066,0.00106335
0,6,-5,-0.00050859025,0.0042367644,-0.001466
5,6,-5,0.029693317,0.0068125043,-0.00457637
15,6,-5,0.10960382,0.034680844,-0.0162301
-15,8,-5,-0.086462044,0.028908753,0.00636636
-5,8,-5,-0.023748869,0.0059634555,0.000503162
0,8,-5,-0.0011766264,0.0033968334,-0.000994955
5,8,-5,0.023519721,0.0054449516,-0.00328222
15,8,-5,0.099899931,0.031341534,-0.0147716
-30,4,-5,-0.26938701,0.16666256,0.0343401
30,4,-5,0.30146127,0.18513505,-0.0497726
-30,6,-5,-0.24521425,0.15166214,0.0298357
30,6,-5,0.27732585,0.16998795,-0.0452513
-30,8,-5,-0.23580753,0.1456995,0.0277123
30,8,-5,0.26882363,0.16435531,-0.0438201
-15,4,0,-0.12242555,0.040441675,0.0130375
-5,4,0,-0.041268422,0.0098808629,0.00301515
0,4,0,-0.0022415316,0.0058045786,-0.000932547
5,4,0,0.038670395,0.0086782752,-0.00508472
15,4,0,0.1268925,0.039119105,-0.0157419
-15,6,0,-0.098998716,0.032859477,0.00953989
-5,6,0,-0.030585462,0.00722627,0.00198166
0,6,0,-0.0026345373,0.0040099388,-0.000308661
5,6,0,0.026625452,0.0060973578,-0.00283598
15,6,0,0.10327427,0.031650879,-0.0122798
-15,8,0,-0.089343335,0.029727415,0.00788165
-5,8,0,-0.025094614,0.006030533,0.00120691
0,8,0,-0.0027674222,0.0032508274,-0.000105157
5,8,0,0.0206731,0.0048585528,-0.00168166
15,8,0,0.093285841,0.028332013,-0.0106503
-30,4,0,-0.27606354,0.17171853,0.0387053
30,4,0,0.29250656,0.17587796,-0.0426216
-30,6,0,-0.25191647,0.15629367,0.0339693
30,6,0,0.26744814,0.16053806,-0.0375893
-30,8,0,-0.24236032,0.15010261,0.0317125
30,8,0,0.25827829,0.15457068,-0.035711
-15,4,5,-0.12769818,0.04289475,0.0162811
-5,4,5,-0.044759006,0.010567626,0.00500492
0,4,5,-0.0055219443,0.0059691647,0.000877388
5,4,5,0.035361994,0.0083284155,-0.00330516
15,4,5,0.12227652,0.037386315,-0.0131455
-15,6,5,-0.1039593,0.034988113,0.0125657
-5,6,5,-0.032916372,0.0076807144,0.00329384
0,6,5,-0.0045288831,0.0041012863,0.000725274
5,6,5,0.024532927,0.0059119733,-0.00170685
15,6,5,0.099028605,0.030254428,-0.00994327
-15,8,5,-0.094284168,0.031742119,0.0108471
-5,8,5,-0.027067484,0.006398495,0.0022971
0,8,5,-0.0041390023,0.0033372357,0.000635558
5,8,5,0.019001275,0.0047135182,-0.000784732
15,8,5,0.089009822,0.027027577,-0.00832528
-30,4,5,-0.28464783,0.17968069,0.0452138
30,4,5,0.28451758,0.16946604,-0.0371719
-30,6,5,-0.26108265,0.16422692,0.0407643
30,6,5,0.25952084,0.15455979,-0.0322727
-30,8,5,-0.25208105,0.1582207,0.0388993
30,8,5,0.25020372,0.14865642,-0.0304048
-15,4,15,-0.14144801,0.051952852,0.0248615
-5,4,15,-0.053784949,0.013962772,0.0100798
0,4,15,-0.012969754,0.0077214236,0.00494177
5,4,15,0.029489153,0.0088159056,-0.000140001
15,4,15,0.11623143,0.035911366,-0.00974584
-15,6,15,-0.11956554,0.044455958,0.0221458
-5,6,15,-0.040815441,0.010500943,0.00770813
0,6,15,-0.0096235149,0.0053131864,0.00349641
5,6,15,0.021113922,0.0061940959,0.00012537
15,6,15,0.094272555,0.029279575,-0.00731205
-15,8,15,-0.11133949,0.041688845,0.0212549
-5,8,15,-0.035038991,0.0091408859,0.00673813
0,8,15,-0.008587995,0.0043720356,0.00302891
5,8,15,0.016349829,0.0049909009,0.000633394
15,8,15,0.084877825,0.026243102,-0.00604504
-30,4,15,-0.3040675,0.20335462,0.0609739
30,4,15,0.27323156,0.16227316,-0.0298158
-30,6,15,-0.28269835,0.18939324,0.0579373
30,6,15,0.24885697,0.14832374,-0.0255078
-30,8,15,-0.27523917,0.18463522,0.0571723
30,8,15,0.2397292,0.14276412,-0.0238057
-15,4,30,-0.16909005,0.08378722,0.0442057
-5,4,30,-0.073285257,0.029027759,0.0215572
0,4,30,-0.028501551,0.017218418,0.0135273
5,4,30,0.01862446,0.013689129,0.00560521
15,4,30,0.1112839,0.036186302,-0.00717939
-15,6,30,-0.1553147,0.082852476,0.0467352
-5,6,30,-0.062180054,0.025938807,0.0202042
0,6,30,-0.023767523,0.013447784,0.0113046
5,6,30,0.013255178,0.009621666,0.00427946
15,6,30,0.09050884,0.029615481,-0.0053457
-15,8,30,-0.15324844,0.085380216,0.049886
-5,8,30,-0.059507927,0.026170197,0.0210433
0,8,30,-0.023385167,0.012605428,0.0112104
5,8,30,0.0084152682,0.0083888663,0.00483233
15,8,30,0.081970695,0.026578182,-0.00454685
-30,4,30,-0.33408173,0.26705806,0.0924642
30,4,30,0.26408105,0.15901597,-0.0246553
-30,6,30,-0.32058447,0.26613875,0.0973382
30,6,30,0.24156827,0.14586552,-0.0214391
-30,8,30,-0.31993736,0.2720256,0.103003
30,8,30,0.23322713,0.14066005,-0.020208
-15,4,40,-0.18866446,0.1202129,0.0599227
-5,4,40,-0.088830496,0.049282882,0.0313477
0,4,40,-0.041478449,0.03098931,0.0209351
5,4,40,0.0090919151,0.021643547,0.0106495
15,4,40,0.10822536,0.037476947,-0.00568868
-15,6,40,-0.18198698,0.13359377,0.0688945
-5,6,40,-0.079930903,0.048092035,0.0314038
0,6,40,-0.036739928,0.026526911,0.0187128
5,6,40,0.0051927149,0.016120641,0.00854257
15,6,40,0.087454393,0.031028066,-0.00386029
-15,8,40,-0.19045943,0.15050592,0.0803039
-5,8,40,-0.080577789,0.05177353,0.0342662
0,8,40,-0.038067037,0.026850165,0.0196017
5,8,40,-0.00044384964,0.015307927,0.00953165
15,8,40,0.079059574,0.027942191,-0.00311914
-30,4,40,-0.3615997,0.33178882,0.124833
30,4,40,0.25942966,0.15744822,-0.0226825
-30,6,40,-0.35929383,0.34775362,0.139322
30,6,40,0.23966193,0.1456165,-0.020477
-30,8,40,-0.35875596,0.35321086,0.143907
30,8,40,0.23162272,0.14041406,-0.0194152
